Month and Year;Month;Year;MAP HC FeMn;MAP SiMn;MAP MC FeMn;SPI Global Index ;SPI Period on Period;SPI Year on Year ;FP Baltic dry freight;SP Scrap / Shredded / Europe domestic Ex-Works US$/t;CP Spot coke US$/t [LHS];PC Usage Price: 36 City Avg: Electricity for Industry: 315 kV & Above RMB/KWH;MOP $/CIF 44%;MOD&S production;MOD&S consumption;MOD&S balance;MAD&S SiMn production;MAD&S SiMn consumption;MAD&S SiMn Balance, '000 tonnes;MAD&S HCFeMn production;MAD&S HCFeMn consumption;MAD&S HCFeMn Balance, '000 tonnes;MAD&S MCFeMn production;MAD&S MCFeMn;MAD&S MCFeMn Balance, '000 tonnes;IOP Vale Standard SF;SP Crude steel production;CGDP Gross Domestic Product/ RMB bn;SperC Crude Steel/kg;Oil Price
37895;October;2003;579,32325;637,84075;969,0498;100,2;1,9;7,6;4162,565217;158,17275;160;0,5344;2,747755102;8907,772443;8761,198691;146,5737527;4971,160361;5063,344192;-92,18383112;3184,183032;3268,909229;-69,72619732;859,3353;922,2464775;-62,91117754;33,57922047;970000;13582,27561;172,5675256;27,6
37926;November;2003;590,2503125;666,223125;967,77675;102,03;1,8;8,9;4250,4;159,316875;170;0,5535;2,747755102;8907,772443;8761,198691;146,5737527;4971,160361;5063,344192;-92,18383112;3184,183032;3268,909229;-69,72619732;859,3353;922,2464775;-62,91117754;33,57922047;970000;13582,27561;172,5675256;27,6
37956;December;2003;659,1573068;758,6527493;982,517495;106,77;4,6;12,5;4642,913043;179,3099;200;0,5515;2,747755102;8907,772443;8761,198691;146,5737527;4971,160361;5063,344192;-92,18383112;3184,183032;3268,909229;-69,72619732;859,3353;922,2464775;-62,91117754;33,57922047;970000;13582,27561;172,5675256;27,6
37987;January;2004;669,9322562;796,3345687;948,0173437;117,48;10;16,3;5212,909091;197,946;240;0,5543;3,087755102;10807,59865;10961,41174;-153,8130952;6052,190905;5817,07822;235,1126851;3890,423524;3527,501146;411,9223778;1131,583238;1049,729397;81,85384116;38,3491592;1069000;15987,83379;218,2819733;37,6
38018;February;2004;821,31075;1276,19055;1200,37725;128,11;9;25;5450,05;227,052;280;0,5586;3,087755102;10807,59865;10961,41174;-153,8130952;6052,190905;5817,07822;235,1126851;3890,423524;3527,501146;411,9223778;1131,583238;1049,729397;81,85384116;38,3491592;1069000;15987,83379;218,2819733;37,6
38047;March;2004;1288,104711;1548,202778;1637,379258;145,81;13,8;40,6;5131,173913;256,851;330;0,5543;3,087755102;10807,59865;10961,41174;-153,8130952;6052,190905;5817,07822;235,1126851;3890,423524;3527,501146;411,9223778;1131,583238;1049,729397;81,85384116;38,3491592;1069000;15987,83379;218,2819733;37,6
38078;April;2004;1506,071875;1566,31475;1626,557625;148,91;2,1;49,2;4500,363636;245,513125;422,5;0,555;3,087755102;10807,59865;10961,41174;-153,8130952;6052,190905;5817,07822;235,1126851;3890,423524;3527,501146;411,9223778;1131,583238;1049,729397;81,85384116;38,3491592;1069000;15987,83379;218,2819733;37,6
38108;May;2004;1497,5375;1437,636;1677,242;143,32;-3,8;48,6;3598,190476;229,0108;400;0,5496;3,087755102;10807,59865;10961,41174;-153,8130952;6052,190905;5817,07822;235,1126851;3890,423524;3527,501146;411,9223778;1131,583238;1049,729397;81,85384116;38,3491592;1069000;15987,83379;218,2819733;37,6
38139;June;2004;1487,887297;1336,062062;1700,442625;143,73;0,3;51,7;2901,590909;176,3345;295;0,5512;3,087755102;10807,59865;10961,41174;-153,8130952;6052,190905;5817,07822;235,1126851;3890,423524;3527,501146;411,9223778;1131,583238;1049,729397;81,85384116;38,3491592;1069000;15987,83379;218,2819733;37,6
38169;July;2004;1445,532;1260,996;1722,336;152,07;5,8;58,7;3778,409091;232,65025;305;0,555;3,087755102;10807,59865;10961,41174;-153,8130952;6052,190905;5817,07822;235,1126851;3890,423524;3527,501146;411,9223778;1131,583238;1049,729397;81,85384116;38,3491592;1069000;15987,83379;218,2819733;37,6
